kidx,coarse_rank,best_omega,best_selectivity,target_idx,target_amp,second_amp,target_dominance_coarse,coarse_target_share,stage_status,broad_label,final_avg_selectivity,final_min_selectivity,fro_norm,asymmetry_norm,asymmetry_ratio,positive_ratio,negative_ratio,mean_abs_weight,std_abs_weight,max_abs_weight,drive_out_strength,drive_in_strength,target_in_strength,target_out_strength,target_sink_bias,target_direct_from_drive,target_path_2hop,target_path_advantage_2hop,target_path_3hop,target_path_advantage_3hop,K
13,1291,1.3,1.3504627826496853,1,0.7559574279636885,0.559776572649493,1.3504627826496853,0.3957165550167266,coarse_only,low,nan,nan,2.558977023646235,3.657846161577263,1.4294173522370444,0.5,0.5,0.4972107066456887,0.2831954865006891,0.9757069477727749,3.482467080249199,1.6133422332506517,2.536940262517235,2.1608509203090804,0.3760893422081546,0.8873555304583756,1.5215202922037103,1.3191535556008596,0.7285932877407391,0.5780522494047191,"[[0.0, -0.6491805000298378, 0.3495972999345578, -0.27435609827412777, -0.3402083350121283], [0.8873555304583756, 0.0, 0.024347315675470105, -0.9519735986573015, -0.6732638177260877], [0.7668374672671239, 0.5784950965053526, 0.0, -0.5550932080172795, 0.11549516524261283], [-0.9757069477727749, 0.42598726187584135, 0.4335013611274563, 0.0, 0.22267736855040243], [-0.8525671347509249, -0.5071880618980489, 0.14875609619586383, -0.21162646794220485, 0.0]]"
14,991,1.4,1.680347706317785,1,0.39948454683489226,0.23773921631292538,1.680347706317785,0.4393766702345005,coarse_only,low,nan,nan,2.51164621948683,3.1763106442675575,1.2646329804024965,0.35,0.65,0.5016603701374727,0.25249793984636437,0.9642171582060495,2.0784322928099193,1.9952487638591283,2.015652168848499,1.2365703223925522,0.7790818464559468,0.37480870579765746,0.8715125032930462,0.9648800551993476,1.0229559886865789,1.48995601044003,"[[0.0, -0.6959841949549259, 0.17992118529906143, 0.3924302122069132, -0.7269131713982278], [-0.37480870579765746, 0.0, 0.8022161868456732, -0.3165146995877295, -0.5221125766174388], [0.6435840054604292, 0.16996536045135668, 0.0, -0.4876999571442153, -0.854683302703358], [-0.9642171582060495, 0.15994036112818955, -0.6177794530798504, 0.0, -0.7850455432277055], [-0.09582242334578317, -0.21068040585808, -0.535377049428938, 0.4975114500078701, 0.0]]"
15,502,1.5,2.3008547476532475,3,0.3350442095709698,0.1456172798002119,2.3008547476532475,0.5841813225467066,coarse_only,low,nan,nan,2.655719580659655,3.559200894538421,1.3402020757225466,0.55,0.45,0.535222412724497,0.2572533643556934,0.9187648762545095,2.8788012920755452,1.3151198780221818,2.2172378695927764,1.5108178338736225,0.7064200357191539,0.6738874728581419,1.1342074094971313,0.7662720200982569,1.3317359413600793,0.8959073344678385,"[[0.0, -0.8343828482070106, -0.2945131686071898, 0.03966614866846352, -0.14655771253951788], [-0.9187648762545095, 0.0, 0.890049296609253, -0.6748605504933636, 0.7041046649255505], [0.6442743181288801, -0.21741248584378403, 0.0, 0.6480036152998385, 0.36137265114042494], [0.6738874728581419, 0.5151931716642475, 0.38254295888120926, 0.0, 0.6456142661891775], [-0.6418746248340135, 0.4964485501624898, -0.8266373537709144, -0.14828751941195684, 0.0]]"
16,1354,1.4,1.2834676408228751,3,0.8188461347265799,0.6379951536606767,1.2834676408228751,0.47799020161957706,coarse_only,low,nan,nan,2.978053630209316,4.164267142620428,1.3983183849937382,0.65,0.35,0.6039494103545122,0.2805089676865628,0.9902011700228488,2.6289670503952216,3.0306164232445365,2.2948411967137217,2.4529301909302643,-0.15808899421654266,0.6740940634400077,1.274794396838769,0.8552306660779848,1.0160172720494591,0.5994531971591494,"[[0.0, 0.8758102172719786, -0.810446643277666, -0.9902011700228488, -0.3541583926720433], [0.981489436482444, 0.0, 0.6613885310354619, -0.6537727259590691, 0.1727567095967555], [0.916818670358784, 0.43302646913161413, 0.0, 0.1491132981780794, 0.9666694131068427], [0.6740940634400077, 0.5564964522038565, 0.7769797738230004, 0.0, -0.2872709072468571], [0.05656488011398597, -0.5469992086352728, 0.5550882477634107, -0.659842996770267, 0.0]]"
17,1269,1.5,1.3836646532269228,4,0.28784837150857345,0.2080333344035943,1.3836646532269228,0.4662525342849488,coarse_only,low,nan,nan,2.01527888354373,3.4114871948187275,1.6928114628076525,0.6,0.4,0.3692922712938892,0.25824536256332603,0.9436748332222242,1.285912158193761,1.8950049554940303,1.240871296127898,1.1686905356566868,0.07218076047121125,0.6823507030899352,0.19579996701896785,0.3985008063870007,0.08198002537643705,0.17554091649895584,"[[0.0, 0.343805606955381, 0.5209731973305001, -0.7803442278721822, 0.24988192333596704], [-0.17208823506961446, 0.0, 0.38796908629299054, 0.17095917152124374, 0.4657721537174304], [0.04005051440929597, -0.07426438174145655, 0.0, -0.5416966600065869, 0.39060421218363683], [0.3914227056249153, -0.6090349740468073, 0.9436748332222242, 0.0, 0.062432246419652504], [0.6823507030899352, -0.02695913339369027, -0.048110259799346355, -0.48345119984492624, 0.0]]"
18,733,1.5,1.9626066790168606,4,0.5453633049662385,0.27787702487462634,1.9626066790168606,0.5507743436885941,coarse_only,low,nan,nan,2.542694458182249,3.7782517234351918,1.4859243946025456,0.55,0.45,0.5068290648682627,0.2576607350534776,0.9034688099962094,1.6955325924585651,1.457620641716207,2.1340559434262802,2.1140210936838244,0.02003484974245584,0.5658656378557476,0.319886409057231,0.3078754405889922,0.7102259475399219,0.7975086826899804,"[[0.0, 0.688221936478085, 0.355597556191918, -0.2623569666080996, 0.1514441824381043], [0.1268249473479799, 0.0, -0.2246515760886214, -0.670434695867993, 0.7538657866580216], [0.7894569937737368, -0.9034688099962094, 0.0, 0.27256730719891964, 0.5776903112696758], [0.21338501348110084, -0.6168216077468835, -0.7647168494756018, 0.0, 0.6310208133180228], [-0.5658656378557476, -0.8497346102544328, 0.10208999158660936, -0.6163657037294907, 0.0]]"
19,255,1.4,3.046640033844546,4,0.06550218181140954,0.02149980998106491,3.046640033844546,0.5197929963184311,coarse_only,medium,nan,nan,1.6265338431884484,2.01105770764191,1.236406925107967,0.55,0.45,0.30041696731668466,0.20501283593988745,0.9715392703928383,1.1832682996811756,1.7033876107488897,1.4813620289417355,1.1260026238742857,0.3553594050674498,0.23432398220429018,0.42407882341773123,2.1912498570746806,0.143483431608385,1.0425409538136,"[[0.0, 0.6424532121558448, -0.20332889780352925, -0.41184727966343115, -0.44575822112608443], [-0.2780571483432983, 0.0, 0.05564015622495466, -0.28930163765460737, 0.27484195847636284], [0.35153488389491994, 0.1165578959500686, 0.0, 0.24780556387826858, 0.183805566428221], [-0.3193522852386672, -0.3935979746715095, 0.09149775803857318, 0.0, 0.22159687784361748], [-0.23432398220429018, 0.1315478144325104, 0.9715392703928383, -0.14395096191209666, 0.0]]"
20,270,1.5,2.9668118901349807,4,0.31339614156076523,0.10563397787364937,2.9668118901349807,0.6153100927521081,coarse_only,medium,nan,nan,2.898016886520754,3.37354735356678,1.164088231941176,0.55,0.45,0.5619307005979335,0.32273670608328353,0.9757971686556146,1.5184408711108046,3.085937955411457,2.2434879578252893,3.033299101571413,-0.7898111437461237,0.4081463059811734,0.9980898691097435,0.7903474009060364,0.4361927298357283,0.26369703142601425,"[[0.0, 0.7504565074039438, 0.8834123110597727, -0.4762719682921255, -0.9757971686556146], [-0.0339831731324014, 0.0, 0.9432625085705357, 0.7953968702350966, 0.9213297718605433], [0.20773931548150548, 0.030320733805284217, 0.0, 0.30469793137804224, -0.5028846472655097], [0.8685720765157243, -0.12060110006893732, 0.5471124566185981, 0.0, -0.6332875137897449], [-0.4081463059811734, 0.14882153760563432, -0.713995831471439, -0.9725242827670428, 0.0]]"
21,621,1.3,2.1064038408822583,1,0.15044954819561968,0.07142483567182355,2.1064038408822583,0.5165176431738812,coarse_only,low,nan,nan,2.319348312731279,2.1970857831608326,0.9472858264106884,0.5,0.5,0.45482160120923243,0.24921103679801418,0.9990027045140537,3.0423122862038,1.0454744082422638,2.8365778490823876,1.1700325244664493,1.6665453246159383,0.9990027045140537,1.242339437303407,1.2674997356247273,0.9769647717539954,1.1743927227334394,"[[0.0, 0.22831454748577595, -0.3517072483852479, 0.4344818785909865, -0.03097073378025339], [0.9990027045140537, 0.0, 0.6612628825435181, -0.48090218772244375, -0.6954100743023721], [-0.601392181786, -0.1354700713074679, 0.0, -0.610781304535531, 0.5598895419771632], [0.7368623088344592, -0.36799002847951834, 0.016128393512579997, 0.0, 0.4447563478622474], [-0.7050550910692872, -0.43825787719368714, 0.4614119917168056, 0.13638462858525324, 0.0]]"
22,1082,1.3,1.5867818855541347,2,0.25900250093982347,0.1632250174369668,1.5867818855541347,0.44973343205500405,coarse_only,low,nan,nan,2.3323337165351505,2.4707430408216755,1.0593437051071244,0.3,0.7,0.45138457383649866,0.26122977389029756,0.9547789389062398,1.8254536068062763,1.4125473990882051,2.504315612599956,2.0811698683761857,0.4231457442237705,0.2569175957578167,1.1551295924624179,2.5913612986837786,0.6532731519834385,1.0398848148127289,"[[0.0, -0.18677430993230404, -0.3869855649385956, -0.5372548546905089, 0.3015326695267966], [-0.47062799635460895, 0.0, -0.4587032086957834, 0.3467192624502955, 0.13636828380346389], [0.2569175957578167, 0.7908335512636762, 0.0, -0.7003689082490758, -0.7561955573293875], [-0.8471219581635661, 0.06846204720748128, -0.6685376960954557, 0.0, -0.9547789389062398], [-0.25078605653028463, -0.05359205722286231, -0.566943398646351, -0.288187560965419, 0.0]]"
