label,feature,count,mean,median,std
stable_high,fro_norm,8,2.441967437707601,2.389357326345146,0.265577955486035
stable_high,asymmetry_norm,8,3.1381300607074465,3.0551065641675716,0.6033731129197235
stable_high,asymmetry_ratio,8,1.278811602893903,1.2834824142097814,0.14931448233271055
stable_high,positive_ratio,8,0.58125,0.575,0.10879309490955758
stable_high,negative_ratio,8,0.41875000000000007,0.42500000000000004,0.10879309490955756
stable_high,mean_abs_weight,8,0.45834182340451946,0.4372435961629332,0.06290514906881783
stable_high,std_abs_weight,8,0.29453101399601467,0.2865194568710906,0.030067055002910157
stable_high,max_abs_weight,8,0.9403907525727276,0.9353178562889254,0.035364476338537676
stable_high,drive_out_strength,8,1.672541339142711,1.680739949109972,0.36487785276568324
stable_high,drive_in_strength,8,2.0221294575640623,1.6369165485410555,0.7150958073132009
stable_high,target_in_strength,8,2.2829350165607796,2.271994809213474,0.7739255505868662
stable_high,target_out_strength,8,1.3206275458811991,1.412629967601072,0.43779839540465354
stable_high,target_sink_bias,8,0.9623074706795806,1.093786967963943,0.7387571081131221
stable_high,target_direct_from_drive,8,0.672261954365728,0.7165270325763524,0.23974324516607215
stable_high,target_path_2hop,8,0.5175044801923487,0.3960295763916405,0.3416377955965869
stable_high,target_path_advantage_2hop,8,0.7614236837651924,0.5681971127094869,0.4528867230449457
stable_high,target_path_3hop,8,0.5414889383453321,0.3826188798138233,0.44837379959333207
stable_high,target_path_advantage_3hop,8,0.9269862346731981,0.7510501606147791,0.46819674862310584
unstable_peak,fro_norm,72,2.511752028982694,2.4959928535787297,0.23073000149543543
unstable_peak,asymmetry_norm,72,3.5813182567216617,3.5406732254071436,0.5942232771440483
unstable_peak,asymmetry_ratio,72,1.4292081760128932,1.4380089035140369,0.21517303194282655
unstable_peak,positive_ratio,72,0.48750000000000004,0.5,0.09673488971869916
unstable_peak,negative_ratio,72,0.5125,0.5,0.09673488971869916
unstable_peak,mean_abs_weight,72,0.48255219531066235,0.47870728060588574,0.055341722660185305
unstable_peak,std_abs_weight,72,0.28530014543708204,0.28816707006787523,0.028128792755493952
unstable_peak,max_abs_weight,72,0.9467756422343881,0.9607259961771916,0.04610289735227616
unstable_peak,drive_out_strength,72,2.0431910197952083,2.065982030442195,0.5745930987316773
unstable_peak,drive_in_strength,72,2.1098515157146487,2.121619012636357,0.5135805505978812
unstable_peak,target_in_strength,72,2.0931020224232277,2.138899294259942,0.47791958100266063
unstable_peak,target_out_strength,72,1.8467253336921614,1.8462966944198005,0.5745876172043822
unstable_peak,target_sink_bias,72,0.24637668873106655,0.22088826319465393,0.7508120942766865
unstable_peak,target_direct_from_drive,72,0.6844451816686701,0.7304742542809438,0.24426211102203135
unstable_peak,target_path_2hop,72,0.6367795569232084,0.5965676376085582,0.3557064720414628
unstable_peak,target_path_advantage_2hop,72,0.6965334043203506,0.5487652603609097,0.4681229381598553
unstable_peak,target_path_3hop,72,0.5913210111689792,0.5679163041012171,0.3788014583741399
unstable_peak,target_path_advantage_3hop,72,0.6869001906580386,0.6359369995448323,0.3775436989037445
medium,fro_norm,295,2.546535680953748,2.552652080735766,0.2692754488013666
medium,asymmetry_norm,295,3.5269545157924096,3.5700613883410126,0.6943468254834464
medium,asymmetry_ratio,295,1.3850820037283016,1.3967662100794482,0.22890488482474436
medium,positive_ratio,295,0.5086440677966102,0.5,0.10728478855196329
medium,negative_ratio,295,0.4913559322033899,0.5,0.10728478855196329
medium,mean_abs_weight,295,0.4935670252167679,0.49292410798202235,0.06612453656239319
medium,std_abs_weight,295,0.2810651559872858,0.2819505009345977,0.029819078755208263
medium,max_abs_weight,295,0.9531281013767122,0.9707188819430814,0.04746800252488889
medium,drive_out_strength,295,2.028821013175075,2.0667336250206505,0.5639242797115046
medium,drive_in_strength,295,2.0592353107398567,2.0557089086379303,0.5474412015316609
medium,target_in_strength,295,2.173260352564122,2.171517400707587,0.5339048386625417
medium,target_out_strength,295,1.8851323267694664,1.8866456835620393,0.5691399937801619
medium,target_sink_bias,295,0.2881280257946561,0.3360987024545956,0.7610110179471802
medium,target_direct_from_drive,295,0.6151293455772323,0.6782114913847697,0.2865498078334391
medium,target_path_2hop,295,0.7427520813790978,0.716301263990218,0.3807298328725422
medium,target_path_advantage_2hop,295,0.791919055560012,0.7237537656838101,0.4356215955538887
medium,target_path_3hop,295,0.7070866661070865,0.6290848348968591,0.4498975001495056
medium,target_path_advantage_3hop,295,0.791842481272081,0.7303808288223528,0.42783489078906795
low,fro_norm,1125,2.5761042976960695,2.591560756923263,0.2624513575314196
low,asymmetry_norm,1125,3.583302273228264,3.5974051704132513,0.694091263089646
low,asymmetry_ratio,1125,1.390813068988457,1.4212057649410066,0.22804667282608615
low,positive_ratio,1125,0.5007111111111112,0.5,0.11488905222425526
low,negative_ratio,1125,0.49928888888888895,0.5,0.11488905222425527
low,mean_abs_weight,1125,0.5019450623794868,0.5019614634938565,0.06419274544952328
low,std_abs_weight,1125,0.2797984045369025,0.28089308875239216,0.03004999146458997
low,max_abs_weight,1125,0.9536244262212918,0.9669102959455673,0.04495098331072329
low,drive_out_strength,1125,1.9825557441704986,1.9841437888096187,0.5501013468384752
low,drive_in_strength,1125,1.9983230858236565,1.9994701911452397,0.547623721490293
low,target_in_strength,1125,2.131674496461245,2.1340559434262802,0.5372332003332012
low,target_out_strength,1125,2.0033522472426557,2.003727843575539,0.5930165635968625
low,target_sink_bias,1125,0.12832224921858912,0.12313834440757931,0.7803636583763952
low,target_direct_from_drive,1125,0.5369940217437422,0.5653455849228943,0.2879052641230294
low,target_path_2hop,1125,0.7776050339908529,0.7317417844978236,0.38779209440574997
low,target_path_advantage_2hop,1125,0.8209856623218221,0.7491547310471085,0.45129927555014915
low,target_path_3hop,1125,0.7618832401060242,0.6946228653676386,0.4332709164529397
low,target_path_advantage_3hop,1125,0.7930791939386135,0.7297744805361409,0.39958272733751177
